en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
coverture,在法律上屬有夫之婦身分,international,0.5714,diplomatic privilege [international] sim=0.676,conspiracy [criminal] sim=0.676,testation [civil] sim=0.657,envoy [international] sim=0.654,discovery [procedure] sim=0.654,protocol [international] sim=0.648,diplomatic [international] sim=0.641,
default,不履行,international,0.5714,conventional [international] sim=0.757,bilateral [international] sim=0.672,Covenant [international] sim=0.663,covenant [international] sim=0.663,testamentary [civil] sim=0.658,employer [labor_social] sim=0.652,distortion [civil] sim=0.650,
deuterogamy,再婚 ※比較 bigamy; polygamy,international,0.5714,testation [civil] sim=0.650,Covenant [international] sim=0.638,covenant [international] sim=0.638,de bonis testatoris ac si [civil] sim=0.629,jus cogens [international] sim=0.616,adoption [civil] sim=0.605,accession [international] sim=0.601,
esoteric,深奧的,international,0.5714,conspiracy [criminal] sim=0.669,discovery [procedure] sim=0.653,Covenant [international] sim=0.634,covenant [international] sim=0.634,stratification [international] sim=0.632,intestate [civil] sim=0.632,protocol [international] sim=0.631,
formal,形式上的,international,0.5714,conventional [international] sim=0.736,diplomatic [international] sim=0.688,accession [international] sim=0.658,administrative [administrative] sim=0.653,protocol [international] sim=0.646,testation [civil] sim=0.645,accessory [criminal] sim=0.637,
Gazette,憲報（香港）,international,0.5714,covenant [international] sim=0.665,Covenant [international] sim=0.665,consular [international] sim=0.654,testamentary [civil] sim=0.652,diplomatic [international] sim=0.650,constitutional [constitutional] sim=0.648,veto [constitutional] sim=0.646,
gazette,刊登於憲報,international,0.5714,covenant [international] sim=0.665,Covenant [international] sim=0.665,consular [international] sim=0.654,testamentary [civil] sim=0.652,diplomatic [international] sim=0.650,constitutional [constitutional] sim=0.648,veto [constitutional] sim=0.646,
guardian,監護人,international,0.5714,covenant [international] sim=0.704,Covenant [international] sim=0.704,refugee [international] sim=0.694,sovereign [constitutional] sim=0.690,fiduciary [civil] sim=0.690,envoy [international] sim=0.686,trustee [civil] sim=0.685,
hereditament,世襲財產,international,0.5714,appurtenant [civil] sim=0.677,tenantable [civil] sim=0.671,divorcement [civil] sim=0.668,covenant [international] sim=0.666,Covenant [international] sim=0.666,extraterritoriality [international] sim=0.665,accession [international] sim=0.663,
import,意味,international,0.5714,envoy [international] sim=0.695,accession [international] sim=0.695,adoption [civil] sim=0.649,repledge [civil] sim=0.649,Covenant [international] sim=0.649,covenant [international] sim=0.649,leased [civil] sim=0.646,
ingress,容許……自由進入,international,0.5714,envoy [international] sim=0.651,asylum [international] sim=0.647,trespasser [civil] sim=0.647,joinder [procedure] sim=0.645,trespass [civil] sim=0.645,covenant [international] sim=0.644,Covenant [international] sim=0.644,
invitation,邀請,international,0.5714,protocol [international] sim=0.739,pledge [civil] sim=0.698,envoy [international] sim=0.691,Covenant [international] sim=0.690,covenant [international] sim=0.690,approbation [criminal] sim=0.686,joinder [procedure] sim=0.685,
joint,以……的共同名義,international,0.5714,Covenant [international] sim=0.704,covenant [international] sim=0.704,strike [labor_social] sim=0.692,contractual [civil] sim=0.662,inchoate [criminal] sim=0.657,curtilage covenant [international] sim=0.656,bilateral [international] sim=0.654,
lex loci contractus,締約地法,international,0.5714,Contractus legem ex conventione accipiunt. [international] sim=0.741,jus cogens [international] sim=0.676,pacta sunt servanda [international] sim=0.672,res judicata [procedure] sim=0.665,contractual [civil] sim=0.663,treaty [international] sim=0.662,actus reus [criminal] sim=0.657,
logomachy,詞義上的爭執,international,0.5714,comity [international] sim=0.619,stratification [international] sim=0.610,pledge [civil] sim=0.609,covenant [international] sim=0.607,Covenant [international] sim=0.607,approbation [criminal] sim=0.606,forgery [criminal] sim=0.599,
minority,少數,international,0.5714,refugee [international] sim=0.655,stratification [international] sim=0.642,mispleading [procedure] sim=0.639,covenant [international] sim=0.637,Covenant [international] sim=0.637,nuisance [civil] sim=0.634,underlease [civil] sim=0.633,
mutual,相互,international,0.5714,Deed of Mutual Covenant [international] sim=0.754,bilateral [international] sim=0.689,covenant [international] sim=0.680,Covenant [international] sim=0.680,contractual [civil] sim=0.663,disclosure [procedure] sim=0.659,beneficiary [civil] sim=0.652,
neutral,無利害關係,international,0.5714,conventional [international] sim=0.696,sovereign [constitutional] sim=0.670,freedom [constitutional] sim=0.662,bilateral [international] sim=0.662,labour [labor_social] sim=0.660,Covenant [international] sim=0.659,covenant [international] sim=0.659,
nexus,結合,international,0.5714,sovereign [constitutional] sim=0.659,Covenant [international] sim=0.647,covenant [international] sim=0.647,protocol [international] sim=0.639,accessory [criminal] sim=0.637,sovereignty [constitutional] sim=0.636,comity [international] sim=0.635,
Norwich Pharmacal order,諾里奇藥商令〔在侵犯知識產權案中，下令無過失的第三方披露文件的命令〕,international,0.5714,United Kingdom Patent Office [civil] sim=0.601,Single Convention on Narcotic Drugs [international] sim=0.561,accession [international] sim=0.558,Convention on Psychotropic Substances [international] sim=0.552,legislation [constitutional] sim=0.549,jus cogens [international] sim=0.548,ex parte materna [procedure] sim=0.548,
nude pact,無償合約 ☛參看 nudum pactum,international,0.5714,pacta sunt servanda [international] sim=0.716,covenant [international] sim=0.691,Covenant [international] sim=0.691,pledge [civil] sim=0.651,treaty [international] sim=0.649,unpatented [civil] sim=0.641,radical breach of contract [civil] sim=0.632,
Outline Zoning Plan,分區計劃大綱圖,international,0.5714,restrictive covenant [international] sim=0.648,easement [civil] sim=0.639,curtilage covenant [international] sim=0.628,covenant [international] sim=0.608,Covenant [international] sim=0.608,leasehold [civil] sim=0.604,pre-contractual document [civil] sim=0.594,
parol,口頭,international,0.5714,laboratory [labor_social] sim=0.560,protocol [international] sim=0.549,covenant [international] sim=0.549,Covenant [international] sim=0.549,bailment [civil] sim=0.548,equality [constitutional] sim=0.548,pacta sunt servanda [international] sim=0.547,
preferential,優先的,international,0.5714,prerogative [constitutional] sim=0.679,bilateral [international] sim=0.677,electoral [constitutional] sim=0.675,stratification [international] sim=0.671,conventional [international] sim=0.662,palimony [civil] sim=0.659,protocol [international] sim=0.658,
supralegal,凌駕於法律之上的,international,0.5714,pacta sunt servanda [international] sim=0.609,subrogation [civil] sim=0.603,surrejoinder [procedure] sim=0.593,gratification [international] sim=0.589,protocol [international] sim=0.588,extortion [criminal] sim=0.586,Covenant [international] sim=0.585,
syndicate,企業集團,international,0.5714,asylum [international] sim=0.682,envoy [international] sim=0.665,indictment [criminal] sim=0.656,franchise [constitutional] sim=0.648,prosecution [criminal] sim=0.645,Covenant [international] sim=0.638,covenant [international] sim=0.638,
synergism,協同,international,0.5714,innovation [civil] sim=0.680,conspiracy [criminal] sim=0.666,multilateral [international] sim=0.659,covenant [international] sim=0.653,Covenant [international] sim=0.653,protocol [international] sim=0.651,discovery [procedure] sim=0.651,
transhipment,轉運港口,international,0.5714,protocol [international] sim=0.602,envoy [international] sim=0.602,extraterritoriality [international] sim=0.600,beneficiary [civil] sim=0.596,non-contractual [civil] sim=0.595,multilateral [international] sim=0.592,suretyship [civil] sim=0.589,
unilateral,單方義務合約 ※比較 bilateral contract,international,0.5714,bilateral [international] sim=0.722,multilateral [international] sim=0.716,conventional [international] sim=0.670,unleased [civil] sim=0.663,unpatented [civil] sim=0.648,curtilage covenant [international] sim=0.631,overtime [labor_social] sim=0.627,
vice versa,反之亦然,international,0.5714,bilateral [international] sim=0.713,conventional [international] sim=0.653,gratification [international] sim=0.651,equality [constitutional] sim=0.650,multilateral [international] sim=0.647,reconciliation [procedure] sim=0.639,approbate and reprobate [civil] sim=0.639,
xenophobia,仇外,international,0.5714,harassment [labor_social] sim=0.680,genocide [international] sim=0.672,nuisance [civil] sim=0.632,asylum [international] sim=0.630,extraterritoriality [international] sim=0.622,citizenship [constitutional] sim=0.618,refugee [international] sim=0.612,
resolution of agreement,解約,international,0.5714,treaty [international] sim=0.750,Resolution of the Legislative Council [constitutional] sim=0.740,conciliation [procedure] sim=0.739,ratification [international] sim=0.722,multilateral agreement [international] sim=0.706,reconciliation [procedure] sim=0.692,Deed of Mutual Covenant [international] sim=0.681,
Himalaya clause,喜馬拉雅號條款〔航運減責條款〕,international,0.5714,testatum clause [civil] sim=0.672,treaty [international] sim=0.614,pacta sunt servanda [international] sim=0.612,constitute [constitutional] sim=0.612,Contractus legem ex conventione accipiunt. [international] sim=0.603,trespass quare clausum fregit [civil] sim=0.600,Paris Convention [international] sim=0.599,
leonine contract,對一方片面有利的合約,international,0.5714,contractual [civil] sim=0.720,radical breach of contract [civil] sim=0.690,curtilage covenant [international] sim=0.688,pacta sunt servanda [international] sim=0.687,contractually [civil] sim=0.686,Contractus legem ex conventione accipiunt. [international] sim=0.679,Covenant [international] sim=0.666,
zero tariff,零關稅,international,0.5714,non-competition covenant [international] sim=0.625,Paris Convention [international] sim=0.624,non-contractual [civil] sim=0.607,stateless [international] sim=0.603,unleased land [civil] sim=0.599,unskilled labour [labor_social] sim=0.598,pacta sunt servanda [international] sim=0.596,
